,id,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,season,player_id
222,15538449,18,5,12,0,3,1,1,1,4,5,0,1,1,2,5,11,0.4166667,0.0,1.0,2024,101
223,15538452,16,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0.0,0.0,0.0,2024,319
224,15538457,12,1,2,0,0,1,2,2,0,2,0,2,0,0,1,3,0.5,0.0,0.5,2024,56677842
225,15538459,19,0,0,0,0,2,2,0,4,4,0,0,0,1,4,2,0.0,0.0,1.0,2024,1028029291
226,15538505,31,10,16,5,10,2,2,2,3,5,2,0,0,2,2,27,0.625,0.5,1.0,2024,17896067
227,15538506,15,2,4,0,0,1,5,4,1,5,0,0,0,1,6,5,0.5,0.0,0.2,2024,1028025754
228,15538507,27,8,20,4,10,4,4,0,4,4,4,1,1,1,4,24,0.4,0.4,1.0,2024,3547287
229,15539917,27,4,6,0,1,0,3,1,4,5,4,1,0,1,6,8,0.6666667,0.0,0.0,2024,666743
230,15539918,29,5,6,2,2,0,0,2,2,4,1,2,0,2,4,12,0.8333333,1.0,0.0,2024,247
231,15539920,34,8,13,0,0,5,8,1,8,9,3,0,0,3,6,21,0.6153846,0.0,0.625,2024,493
